Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
146,4.831,0.02,-0.87,0.19,15.47,0.21,8.94
147,4.864,-0.01,-0.86,0.19,15.69,0,8.95
148,4.897,-0.04,-0.53,0.19,15.82,0,9.28
149,4.931,-0.05,-0.08,0.19,15.92,0,9.73
150,4.964,-0.04,0.21,0.19,16.15,0,10.02
151,4.997,-0.03,0.09,0.19,16.46,0,9.9
152,5.031,-0.03,-0.37,0.19,16.81,0,9.44
153,5.064,-0.05,-0.86,0.19,17.12,0,8.95
154,5.097,-0.09,-1.1,0.18,0,0,8.71
155,5.13,-0.13,-1.19,0.18,0.28,0,8.62
156,5.164,-0.17,-1.48,0.17,0.66,0,8.33
157,5.197,-0.22,-2.06,0.17,1.01,0,7.75
158,5.23,-0.3,-2.62,0.16,1.28,0,7.19
159,5.264,-0.41,-2.7,0.15,1.58,0,7.11
160,5.297,-0.5,-2.04,0.13,1.95,0,7.77
161,5.33,-0.55,-0.81,0.12,2.2,0,9
162,5.364,-0.55,0.35,0.1,2.38,0,10.16
163,5.397,-0.52,0.93,0.08,2.67,0,10.74
164,5.43,-0.48,0.93,0.06,3,0,10.74
165,5.464,-0.45,0.64,0.05,3.15,0,10.45
166,5.497,-0.43,0.21,0.03,3.18,0,10.02
167,5.53,-0.44,-0.16,0.02,3.18,0,9.65
168,5.563,-0.45,-0.25,0,3.26,0,9.56
169,5.597,-0.46,-0.08,-0.01,3.33,0,9.73
170,5.63,-0.46,0.08,-0.03,3.35,0,9.89
171,5.663,-0.45,0,-0.04,3.36,0,9.81
172,5.697,-0.45,-0.39,-0.06,3.34,0,9.42
173,5.73,-0.47,-0.84,-0.07,3.15,0,8.97
174,5.763,-0.51,-0.96,-0.09,2.93,0,8.85
175,5.797,-0.55,-0.62,-0.11,3,0,9.19
176,5.83,-0.56,-0.08,-0.13,3.25,0,9.73
177,5.863,-0.55,0.31,-0.14,3.37,0,10.12
178,5.896,-0.53,0.39,-0.16,3.37,0,10.2
179,5.93,-0.52,0.37,-0.18,3.42,0,10.18
180,5.963,-0.51,0.52,-0.2,3.58,0,10.33
181,5.996,-0.49,0.66,-0.21,3.79,0,10.47
182,6.03,-0.46,0.32,-0.23,4.09,0,10.13
