Time_(s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
10.800216,0.18727545,0.20203541,-0.112962164,-0.114369094,4,0,
10.83355,0.17854959,0.20196842,-0.07728931,-0.08479379,4,2,
10.866884,0.18803293,0.20278329,-0.04320258,-0.044484377,4,0,
10.900218,0.19671059,0.2020806,-0.013631577,0.002115373,4,0,
10.933552,0.21022585,0.20499285,0.007688912,0.033764336,4,8,
10.966886,0.20765914,0.21434988,0.042560946,0.041538473,4,0,
11.00022,0.20258455,0.2134384,0.07239192,0.07091498,4,0,
11.033554,0.19791405,0.21031784,0.09523786,0.09601687,4,0,
11.066888,0.19510806,0.207208,0.11224399,0.11479366,4,0,
11.100222,0.19441627,0.20419686,0.12576908,0.12870671,4,0,
11.133556,0.19275355,0.2029128,0.13514248,0.14031483,4,0,
11.16689,0.19073102,0.20013995,0.13940564,0.1477854,4,0,
11.200224,0.18858922,0.19936565,0.1397085,0.14805967,4,0,
11.233558,0.18899049,0.19844799,0.13997564,0.14644626,4,0,
11.266892,0.19105367,0.19873156,0.14074223,0.14476751,4,0,
11.300226,0.1927114,0.19731213,0.13812302,0.14226948,4,0,
11.33356,0.1943378,0.1931128,0.1287234,0.13660413,4,0,
11.366894,0.1927742,0.18972605,0.12257991,0.12921725,4,0,
11.400228,0.19524616,0.18640849,0.11522949,0.121947706,4,0,
11.433562,0.19107898,0.18582694,0.11484893,0.116306484,4,0,
11.466896,0.18794864,0.19105104,0.11153172,0.09036489,4,4,
11.50023,0.18839781,0.18825361,0.092441946,0.06698818,4,4,
11.533564,0.1848033,0.19148842,0.073762,0.05096134,4,4,
11.566898,0.18660606,0.19155534,0.05906382,0.039810117,4,0,
11.600232,0.18700168,0.19201694,0.04972624,0.029346567,4,4,
11.633566,0.18911709,0.1862775,0.0402857,0.03354528,4,0,
11.6669,0.18799958,0.18291223,0.03891095,0.04603768,4,0,
11.700234,0.18708375,0.18450677,0.043728895,0.046427794,4,0,
11.733568,0.19106182,0.1849831,0.03825323,0.049233068,4,0,
11.766902,0.199954,0.19430451,0.015279509,0.039071523,4,8,
11.800236,0.20431988,0.20008077,9.97E-07,0.031233571,4,8,
11.83357,0.20671748,0.20462017,-0.008099905,0.03227056,4,8,
11.866904,0.20957683,0.2093565,-0.019799309,0.027069816,4,8,
11.900238,0.20809555,0.21226816,-0.026169648,0.01618118,4,8,
11.933572,0.20358597,0.212314,-0.030213136,0.007426077,4,8,
11.966906,0.19695856,0.21108107,-0.03567332,-0.00129187,4,8,
12.00024,0.19168064,0.20909579,-0.04348663,-0.012120491,4,8,
12.033574,0.19059318,0.20854755,-0.05544441,-0.026900148,4,8,
12.066908,0.19641447,0.21190372,-0.080052555,-0.05115002,4,8,
12.100242,0.19741848,0.21472153,-0.09908236,-0.07747182,4,8,
12.133576,0.19394581,0.21308249,-0.095109835,-0.08657634,4,0,
12.16691,0.19625849,0.21210614,-0.1034874,-0.100438714,4,0,
12.200244,0.19925971,0.21286424,-0.11307152,-0.11618255,4,0,
12.233578,0.19968544,0.2185847,-0.14106898,-0.14429621,4,0,
12.266912,0.20124802,0.22625555,-0.16845427,-0.16368799,4,2,
12.300246,0.20299098,0.22266215,-0.18918112,-0.1753442,4,0,
12.33358,0.20053072,0.22043313,-0.19844921,-0.18959364,4,0,
12.366914,0.19955738,0.21865527,-0.20840444,-0.19889519,4,0,
12.400248,0.19898821,0.21603145,-0.21619925,-0.2069868,4,0,
12.433582,0.19729842,0.21425515,-0.21951476,-0.21343514,4,0,
12.466916,0.1960962,0.21297143,-0.22184396,-0.21847399,4,0,
