PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
557, 2421101241, 178.6464385986328, -48.26724624633789, 130.84530639648438, 0.75562453, -0.31444195, -1.9321537, 3.337095260620117, 22.6875, 4.226754665374756
558, 2421151242, 178.27345275878906, -48.195030212402344, 131.06341552734375, -0.44884956, -0.22837414, -1.1937027, -4.002545356750488, -1.0305317640304565, -2.363891363143921
559, 2421201243, 177.49588012695312, -48.44866180419922, 131.5880126953125, 0.8374713, -0.15346634, -1.5551233, -7.511875629425049, 5.660217761993408, -6.205080986022949
560, 2421251244, 176.9381561279297, -47.653751373291016, 131.96180725097656, -0.91501826, 0.50286484, 2.108653, -5.393460750579834, -15.300496101379395, -5.184125900268555
561, 2421301245, 176.30763244628906, -49.94011688232422, 132.53268432617188, -0.21245107, -1.0074465, -2.0599623, -3.815032482147217, 46.42338562011719, -4.236966609954834
562, 2421351246, 175.7450408935547, -51.32741165161133, 133.20596313476562, 0.021209816, 0.16737421, -1.2509918, -0.6395834684371948, 28.603954315185547, -6.020791053771973
563, 2421401247, 174.7543182373047, -50.1734619140625, 133.89010620117188, -0.8999193, 0.05709236, -0.0027666092, -9.013225555419922, -21.94884490966797, -9.963583946228027
564, 2421451248, 174.75979614257812, -51.37340545654297, 134.02354431152344, -0.0970158, 0.47914183, -0.27484226, 2.375556468963623, 24.384780883789062, 1.088122844696045
565, 2421501249, 174.2223358154297, -51.14960861206055, 134.43995666503906, -0.38992327, 0.17242214, -0.079063416, -4.046826362609863, -3.6222355365753174, -5.043610095977783
566, 2421551250, 174.2855682373047, -51.922454833984375, 134.51629638671875, 0.1526761, 0.399936, -0.21609592, 2.6603806018829346, 15.806817054748535, 1.1783366203308105
567, 2421601251, 174.2144317626953, -50.1597785949707, 134.5330047607422, -0.5608687, 1.0941299, 2.8396454, -0.9580798149108887, -34.722076416015625, -3.16627836227417
568, 2421651252, 174.20330810546875, -51.08256530761719, 134.63330078125, 0.86213017, 0.5166063, -0.89256096, 1.5301262140274048, 18.820571899414062, 1.1742210388183594
569, 2421701253, 174.59967041015625, -50.2346305847168, 134.3429412841797, -0.58374566, 1.5620852, 2.7528677, 3.6395676136016846, -16.906227111816406, 2.589197874069214
570, 2421751254, 174.12367248535156, -51.29538345336914, 134.7586669921875, 0.49058858, -0.011381056, -0.73575974, -2.871997117996216, 21.955974578857422, -2.5685203075408936
571, 2421801255, 174.1023712158203, -51.663002014160156, 134.71913146972656, 0.13146406, 0.5258664, 1.4828854, -0.8395772576332092, 7.590597629547119, 1.8274822235107422
572, 2421851256, 174.3192596435547, -51.81657409667969, 134.5291748046875, 0.24557436, 0.17170745, 0.48846817, 1.5639657974243164, 3.1452393531799316, 3.2333855628967285
573, 2421901257, 174.44776916503906, -51.98199462890625, 134.3970947265625, 0.3060089, 0.20156029, 0.86614895, 0.6986229419708252, 3.459071159362793, 2.5309946537017822
574, 2421951258, 174.02117919921875, -52.457664489746094, 134.65286254882812, -0.29305455, 0.19967228, 2.2412615, -4.281121253967285, 10.106732368469238, -1.5767686367034912
575, 2422001259, 173.328369140625, -52.843990325927734, 134.98428344726562, 0.35081297, -0.8597417, 0.5418482, -8.375847816467285, 8.44830322265625, -2.5617001056671143
576, 2422051260, 173.20431518554688, -52.24815368652344, 134.95359802246094, -0.6405528, 0.24147244, 4.505992, -2.7631657123565674, -11.549726486206055, -0.44187650084495544
577, 2422101261, 172.1824493408203, -52.32880401611328, 135.61215209960938, -0.35986793, 0.14567122, 3.7295303, -9.809233665466309, 2.9525249004364014, -7.202651500701904
578, 2422151262, 171.37179565429688, -53.146610260009766, 136.36752319335938, -0.039552405, 0.57491195, 3.6907196, -3.9835124015808105, 17.822906494140625, -6.131196022033691
579, 2422201263, 169.81092834472656, -53.34465789794922, 137.67735290527344, -0.6034711, -0.021670252, 3.0820665, -10.018960952758789, 6.796017646789551, -14.236577987670898
580, 2422251264, 168.62228393554688, -54.10162353515625, 138.91302490234375, -0.16136138, -0.13897566, 1.2860975, -3.641584873199463, 17.93145179748535, -10.951837539672852
581, 2422301265, 168.38616943359375, -53.749752044677734, 139.1949920654297, -0.98769903, 0.4609786, 2.2749119, 0.04344774782657623, -5.910455703735352, -4.077932357788086
582, 2422351266, 168.72267150878906, -53.74515914916992, 139.06167602539062, -0.46554172, 0.35509905, -0.2748127, 4.788569927215576, -0.0815594345331192, 2.104449987411499
583, 2422401267, 169.7235565185547, -53.738155364990234, 138.40853881835938, -0.4926451, 0.84131664, -0.88439465, 9.692789077758789, -1.2631264925003052, 8.139448165893555
584, 2422451268, 171.33407592773438, -55.0275993347168, 137.28163146972656, 0.35568678, 0.4430766, -5.0928288, 14.095379829406738, 23.592084884643555, 17.766887664794922
585, 2422501269, 172.91189575195312, -56.77586364746094, 136.3041534423828, 0.40631023, 0.44244623, -6.2768726, 15.573772430419922, 33.44618225097656, 16.226716995239258
586, 2422551270, 173.4253387451172, -58.200286865234375, 135.87161254882812, 0.4422149, -0.17277917, -6.0089927, 3.1844890117645264, 28.045894622802734, 8.585186004638672
587, 2422601271, 173.18829345703125, -58.29795455932617, 135.94522094726562, 0.43236747, -0.18640305, -3.8562584, -3.2778160572052, 2.3450162410736084, 0.03982989490032196
588, 2422651272, 172.3096160888672, -57.94627380371094, 136.4032440185547, 0.23822346, -0.5485, -1.3947134, -9.582682609558105, -6.05054235458374, -5.10371732711792
589, 2422701273, 171.34454345703125, -57.6577262878418, 137.13018798828125, 0.96816045, -0.5165483, -0.03235531, -6.787502765655518, -4.2921929359436035, -7.904281139373779
590, 2422751274, 171.19187927246094, -57.10417175292969, 137.19479370117188, 0.43433195, -0.2965534, 1.214139, -1.7545616626739502, -10.515520095825195, -1.7846311330795288
591, 2422801275, 171.6066131591797, -56.89457321166992, 136.93321228027344, 0.0070194243, -0.42744842, 0.28644085, 4.117564678192139, -4.249156475067139, 2.7744884490966797
592, 2422851276, 172.57763671875, -56.23459243774414, 136.17587280273438, 0.069879316, -0.16256131, 0.31869984, 6.9895710945129395, -13.898584365844727, 7.035080909729004
593, 2422901277, 172.864990234375, -56.182395935058594, 136.00433349609375, -0.08307976, -0.24807312, -0.4540882, 3.1044671535491943, -0.9537532329559326, 2.3448541164398193
