Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
10.66688,0.262313,0.25825384,-0.1278477,-0.1667081,2,4,
10.700214,0.2626338,0.25882304,-0.14549844,-0.18375725,2,4,
10.733548,0.26304638,0.25976208,-0.1625116,-0.20000719,2,4,
10.766882,0.26373988,0.2602241,-0.17879325,-0.21482109,2,4,
10.800216,0.2647878,0.26030916,-0.1937127,-0.2277291,2,4,
10.83355,0.26574624,0.26046365,-0.20692515,-0.23807998,2,4,
10.866884,0.26652154,0.2607502,-0.21820326,-0.24544024,2,4,
10.900218,0.26710078,0.26132295,-0.22720085,-0.24972415,2,4,
10.933552,0.2677635,0.26213205,-0.23352087,-0.25099045,3,0,
10.966886,0.26838627,0.26302084,-0.236701,-0.24898833,3,0,
11.00022,0.26899406,0.26397246,-0.23635879,-0.24375369,3,0,
11.033554,0.26948202,0.264914,-0.2320638,-0.23512016,3,0,
11.066888,0.26975173,0.26570714,-0.2229262,-0.22278254,3,0,
11.100222,0.26954335,0.2663127,-0.20824602,-0.20594509,3,0,
11.133556,0.26877916,0.26669994,-0.18827856,-0.18379006,3,0,
11.16689,0.26739088,0.26679605,-0.16305116,-0.15590411,3,0,
11.200224,0.26541656,0.26662543,-0.13319498,-0.122966595,3,0,
11.233558,0.26298568,0.26624534,-0.09973204,-0.08630054,3,0,
11.266892,0.2604695,0.26549938,-0.06508733,-0.04841768,3,0,
11.300226,0.25832042,0.26446787,-0.031975403,-0.011710022,3,8,
11.33356,0.25691262,0.2630113,-0.000316065,0.0210641,3,8,
11.366894,0.2557656,0.26109427,0.027767202,0.048233915,3,8,
11.400228,0.25436667,0.2596928,0.050024092,0.0691209,3,0,
11.433562,0.25310972,0.25887114,0.06733174,0.084658496,3,0,
11.466896,0.25214562,0.25799292,0.08096481,0.096914835,3,0,
11.50023,0.25157616,0.2569209,0.09171299,0.107078366,3,0,
11.533564,0.25115934,0.25620672,0.10001876,0.1153849,3,0,
11.566898,0.25073457,0.25637308,0.10553972,0.12187548,3,0,
11.600232,0.2504458,0.2569956,0.107928336,0.12644434,3,0,
11.633566,0.25043714,0.25760666,0.107468314,0.12849434,3,8,
11.6669,0.25068587,0.25781065,0.104991585,0.12708361,3,8,
11.700234,0.25100958,0.25763392,0.101037115,0.122768626,3,8,
11.733568,0.25132594,0.2570665,0.096032865,0.11644909,3,8,
